Initial Access,Execution,Persistence,Privilege Escalation,Defense Evasion,Credential Access,Discovery,Collection,Command and Control,Exfiltration
T1078.002,T1106,T1078.002,T1078.002,T1078.002,T1110.001,,,T1219,T1048.003
,,,,,T1552.001,,,,
