attack_folder,ids_sequence
11_DeputydogCampaign,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1049, T1059.001, T1082, T1083, T1071.001, T1204.002, T1547.001, T1106, T1074.001, T1005, T1113, T1204.002, T1204.002, T1204.002, T1548.002, T1204.002, T1071.001, T1071.001, T1059.003, T1112, T1562.001, T1112, T1112, T1562.001, T1112, T1490, T1053.005, T1059.001, T1059.001, T1562.001"
120,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1083, T1059.003, T1018, T1087.001, T1059.001, T1135, T1071.001, T1204.002, T1547.001, T1113, T1106, T1074.001, T1005, T1112, T1204.002, T1548.002, T1071.001, T1059.001, T1059.003, T1562.001, T1059.001, T1071.001, T1204.002, T1204.002, T1566.002, T1059.001, T1562.001, T1562.009, T1112, T1562.001, T1112, T1490, T1112"
121,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1057, T1018, T1005, T1106, T1074.001, T1134, T1059.003, T1562.009, T1112, T1059.001, T1562.001, T1562.001, T1562.001, T1112"
122,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1018, T1059.001, T1057, T1018, T1071.001, T1566.002, T1053.005, T1113, T1005, T1106, T1074.001, T1204.002, T1204.002, T1548.002, T1204.002, T1071.001, T1204.002, T1059.003, T1562.009, T1112, T1059.001, T1562.001, T1562.001, T1562.001, T1112"
123,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1018, T1059.001, T1057, T1018, T1071.001, T1204.002, T1053.005, T1113, T1005, T1134, T1059.003, T1562.009, T1112, T1059.001, T1562.001, T1562.001, T1562.001, T1112"
124,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.003, T1018, T1059.001, T1057, T1018, T1071.001, T1105, T1547.004, T1113, T1005, T1106, T1074.001, T1134, T1059.003, T1562.009, T1112, T1059.001, T1562.001, T1562.001, T1562.001, T1112"
125,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.003, T1018, T1059.001, T1057, T1018, T1071.001, T1566.002, T1547.004, T1113, T1005, T1106, T1074.001, T1134, T1059.003, T1562.009, T1112, T1059.001, T1562.001, T1562.001, T1562.001, T1112"
126,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1135, T1057, T1018, T1057, T1071.001, T1204.002, T1059.003, T1053.005, T1113, T1106, T1074.001, T1548.002, T1071.001, T1059.003, T1112, T1112, T1112, T1112, T1562.001, T1112"
127,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1135, T1057, T1018, T1057, T1071.001, T1566.002, T1547.001, T1005, T1113, T1106, T1074.001, T1204.002, T1548.002, T1071.001, T1059.003, T1112, T1112, T1112, T1112, T1562.001, T1112"
128,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1135, T1057, T1018, T1059.003, T1071.001, T1204.002, T1547.001, T1005, T1113, T1548.002, T1071.001, T1059.003, T1112, T1112, T1112, T1112, T1562.001, T1112"
